ID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
ID1,1,3,3,1,2,3,3,3,2,2
ID2,3,3,3,2,3,3,4,4,4,2
ID3,1,3,3,3,2,3,2,4,1,1
ID4,1,2,2,1,3,2,2,4,3,1
ID5,1,4,3,3,3,2,3,3,3,1
ID6,3,3,3,2,2,3,3,2,1,2
ID7,1,3,3,2,4,3,2,3,2,2
ID8,1,2,2,2,2,2,1,4,3,1
ID9,2,3,3,3,2,2,2,3,3,2
ID10,2,2,3,1,3,3,2,4,3,1
ID11,1,3,2,3,2,1,1,3,2,1
ID12,1,2,2,2,3,3,2,4,3,1
ID13,1,2,2,1,2,2,3,4,3,1
ID14,1,3,3,2,2,3,2,4,2,2
ID15,1,2,2,2,2,1,1,4,1,1
ID16,1,1,1,2,1,1,1,4,3,1
ID17,1,3,2,1,3,1,2,4,3,1
ID18,1,4,3,1,4,1,4,4,4,2
ID19,1,2,2,3,4,2,3,4,4,2
ID20,2,2,3,1,4,2,3,4,1,1
ID21,1,3,2,1,3,3,2,4,3,2
ID22,1,1,1,3,1,1,1,2,2,1
ID23,2,3,3,3,3,3,3,4,3,2
ID24,2,3,2,3,2,2,2,4,2,2
ID25,1,2,2,2,2,2,3,3,2,2
ID26,1,3,3,2,2,2,3,4,2,1
ID27,1,2,2,2,3,2,3,4,2,2
ID28,2,1,1,1,2,1,1,4,1,1
ID29,1,2,2,2,2,2,1,1,2,2
ID30,1,3,3,2,3,2,3,3,4,1
ID31,2,2,2,3,3,1,2,2,3,2
ID32,1,2,2,1,2,2,2,2,2,1
ID33,2,2,2,2,2,2,3,3,3,2
ID34,1,2,2,2,2,2,2,4,3,1
ID35,1,3,1,3,1,1,1,4,2,1
ID36,1,2,2,1,3,3,2,3,2,2
ID37,1,2,1,1,3,1,2,4,1,1
ID38,2,2,2,2,2,3,2,3,2,2
ID39,2,2,2,2,2,2,2,3,3,2
ID40,1,2,2,2,1,2,3,4,3,1
ID41,2,1,1,3,2,1,2,4,3,2
ID42,1,3,2,2,2,4,4,3,3,1
ID43,1,2,3,2,3,2,3,4,2,2
ID44,1,2,2,2,2,1,2,3,2,1
ID45,2,2,2,2,2,2,2,3,2,2
ID46,1,1,2,2,2,1,1,3,3,1
ID47,1,2,1,1,2,2,2,3,2,1
ID48,1,3,2,3,3,2,1,2,3,1
ID49,2,2,1,1,4,2,2,3,2,2
ID50,2,2,3,2,2,2,2,4,1,1
ID51,1,2,2,1,2,2,3,4,2,1
ID52,1,2,3,2,3,2,2,3,3,1
ID53,1,1,1,1,2,2,2,4,2,1
ID54,1,1,1,1,3,1,1,3,3,1
ID55,1,2,2,1,1,2,1,2,2,2
ID56,1,2,2,1,3,1,1,2,1,1
ID57,1,3,4,1,2,3,3,4,4,2
ID58,2,2,2,2,3,2,2,2,2,2
ID59,1,2,2,1,3,2,3,4,3,1
ID60,2,3,2,2,2,2,3,3,2,2
ID61,2,2,2,2,3,2,3,3,2,2
ID62,2,3,3,2,3,3,2,3,2,1
ID63,1,2,3,1,3,2,2,2,3,1
ID64,1,2,2,1,2,2,2,2,2,1
ID65,1,3,3,2,3,2,2,3,3,2
ID66,1,2,3,3,2,3,2,2,3,2
ID67,2,2,2,2,2,2,2,4,3,2
ID68,2,2,1,1,4,1,2,4,2,2
ID69,1,2,2,4,2,1,2,4,2,2
ID70,1,1,2,1,4,2,4,3,1,1
ID71,1,2,1,1,4,1,3,4,1,1
ID72,1,2,2,1,4,2,1,3,3,1
ID73,2,3,1,2,1,2,2,4,4,1
ID74,1,1,1,1,1,1,1,4,1,1
